ETS-ID,City,Name,Net electrical power [MW_el],Heat power [MW_th],CHP,Fuel,Thermal fuel emission factor [t/MWh_th],Emission factor avg. w.o. Heat Seperation [t/MWh_el],Generation elec. avg. [MWh_el],Generation elec. min [MWh_el],Generation elec. max [MWh_el],Emissions avg. [t],Emissions min. [t],Emissions max. [t]
1312,Herne,Herne,460,550.000,True,hard coal,0.337,1.151,1229984.489,730048.000,1600813.421,1415578.286,851369.000,2173726.000
1447,Grossmehring,Ingolstadt,772,0.000,False,heavy fuel oil,0.289,2.058,14228.429,0.000,35255.000,29278.857,13624.000,42018.000
1456,Peitz,Jaenschwalde,2998,304.000,True,lignite,0.398,1.192,15818770.000,11685674.000,19949822.000,18849967.286,13649542.000,23756337.000
1064,Mainz,Mainz-Wiesbaden,785,160.000,True,NG,0.201,0.398,1596276.952,1172314.000,2124117.000,634577.429,427894.000,877892.000
1228,Bremen,Mittelsbueren,176,0.000,False,BFG,0.932,2.690,895100.143,621071.000,1074012.000,2408075.286,1751452.000,2845273.000
1318,Voerde,Voerde,1390,0.000,False,hard coal,0.337,1.008,784126.143,0.000,4348854.000,790516.286,0.000,4487789.000
1464,Walheim,Walheim,136,0.000,False,light fuel oil,0.266,2.907,23752.571,15315.000,32512.000,69047.286,39929.000,144413.000
1317,Duisburg,Walsum,1095,295.000,True,hard coal,0.337,0.930,3264236.965,2081179.000,4784199.752,3036352.286,2062745.000,4796896.000
205778,Wilhelmshaven,Wilhelmshaven (ENGIE),726,0.000,False,hard coal,0.337,2.527,603891.000,0.000,2723961.000,1525878.000,553554.000,2114040.000
1384,Hannover,Herrenhausen,100,140.000,True,NG,0.201,4.665,3343.857,0.000,10444.000,15598.571,2661.000,24981.000
939,Mehrum,Mehrum,690,0.000,False,hard coal,0.337,0.895,1505688.549,760756.000,2607831.000,1347243.143,710340.000,2319751.000
209842,Berlin,Lichterfelde,588,880.000,True,NG,0.201,2.549,124797.286,0.000,338359.000,318086.143,31343.000,579432.000
741,Muenchen,Nord,333,550.000,True,hard coal,0.337,1.281,1046427.429,597897.000,1561921.000,1340609.714,881022.000,1827049.000
206180,Hamburg,Moorburg,1600,240.000,True,hard coal,0.337,0.812,4284936.429,0.000,7746220.000,3477568.714,7065.000,6247591.000
1606,Grevenbroich-Neurath,Neurath,4212,10.000,True,lignite,0.407,1.114,23209214.857,17222434.000,29467344.000,25849382.571,18671292.000,32156311.000
1649,Bergheim,Niederaussem,3398,245.000,True,lignite,0.407,1.168,17281809.857,10183283.000,23561920.000,20190734.143,11877613.000,27173752.000
1181,Berlin,HKW Reuter,124,169.000,True,hard coal,0.337,1.249,134331.857,0.000,382769.000,167799.286,0.000,450537.000
1179,Berlin,HKW Reuter-West,564,726.000,True,hard coal,0.337,1.124,1723735.000,1308803.000,2355713.000,1937436.143,1564208.000,2531294.000
1457,Karlsruhe,Rheinhafen-Dampfkraftwerk,1700,440.000,True,mixed,,0.829,4168809.571,2502985.000,5556132.000,3455897.143,2133670.000,4764061.000
